model,split,n,pass1,out_g,reg_rate,avg_turns,repeats,slope,gap
gemini_31_pro,full,786,67.9,0.9298167623836233,,2.9,0.1,-0.02465568971012857,
gemini_31_pro,hard,121,39.7,0.939789102498898,,3.4,0.19,-0.0961073121964211,28.2
gemma_4_31b,full,782,70.2,0.9465517769500976,,2.89,0.19,-0.006638490713745815,
gemma_4_31b,hard,121,48.8,0.9555980207996286,,3.4,0.31,-0.050397214441332085,21.4
glm_47_flash,full,783,40.7,0.935035997911739,,2.89,0.43,-0.016888690018843792,
glm_47_flash,hard,119,23.5,0.9598652428895424,,3.38,0.81,-0.054006300034337415,17.2
gpt_54,full,785,71.0,0.9421352299287424,,2.9,0.04,0.006421199724618528,
gpt_54,hard,121,52.1,0.9564783299296573,,3.4,0.06,-0.029557387964250708,18.9
qwen3_6_27b,full,784,71.3,0.9282324941707508,,2.9,0.09,0.020463649722370653,
qwen3_6_27b,hard,121,50.4,0.9473855574885454,,3.4,0.12,-0.02690130258091423,20.9
qwen3_6_35b_a3b,full,783,55.7,0.9331127742454416,,2.89,0.16,0.020639758791932708,
qwen3_6_35b_a3b,hard,121,36.4,0.9537969843759038,,3.4,0.25,-0.051363332434761,19.3
